Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0075314,2023-07-24,2023-07-24,,"Taxi Driver","Taxi Driver",https://www.imdb.com/title/tt0075314/,Movie,8.2,114,1976,"Crime, Drama",926978,1976-02-09,"Martin Scorsese",10,2023-04-08
2,tt1560747,2023-07-24,2023-07-24,,"The Master","The Master",https://www.imdb.com/title/tt1560747/,Movie,7.1,138,2012,"Drama, History",186938,2012-09-21,"Paul Thomas Anderson",10,2023-04-19
3,tt0062229,2023-07-24,2023-07-24,,"The Samurai","Le samouraï",https://www.imdb.com/title/tt0062229/,Movie,8.0,101,1967,"Crime, Drama, Thriller",57719,1967-10-25,"Jean-Pierre Melville",10,2023-04-08
4,tt0056736,2023-07-24,2023-07-24,,"L'Eclisse","L'eclisse",https://www.imdb.com/title/tt0056736/,Movie,7.7,126,1962,"Drama, Romance",22228,1962-12-20,"Michelangelo Antonioni",10,2023-04-08
5,tt0053472,2023-07-24,2023-07-24,,"Breathless","À bout de souffle",https://www.imdb.com/title/tt0053472/,Movie,7.7,90,1960,"Crime, Drama",88332,1961-02-07,"Jean-Luc Godard",10,2023-04-08
6,tt0033467,2023-07-24,2023-07-24,,"Citizen Kane","Citizen Kane",https://www.imdb.com/title/tt0033467/,Movie,8.3,119,1941,"Drama, Mystery",467641,1941-09-05,"Orson Welles",10,2023-04-08
7,tt1316540,2023-07-24,2023-07-24,,"The Turin Horse","A torinói ló",https://www.imdb.com/title/tt1316540/,Movie,7.7,155,2011,"Drama",19536,2011-03-31,"Béla Tarr, Ágnes Hranitzky",10,2023-04-10
8,tt0066921,2023-07-24,2023-07-24,,"A Clockwork Orange","A Clockwork Orange",https://www.imdb.com/title/tt0066921/,Movie,8.3,136,1971,"Crime, Sci-Fi",884812,1972-02-02,"Stanley Kubrick",10,2023-04-08
9,tt0052893,2023-07-24,2023-07-24,,"Hiroshima Mon Amour","Hiroshima mon amour",https://www.imdb.com/title/tt0052893/,Movie,7.8,90,1959,"Drama, Romance",36162,1960-05-16,"Alain Resnais",10,2023-04-08
10,tt0072443,2023-07-24,2023-07-24,,"Mirror","Zerkalo",https://www.imdb.com/title/tt0072443/,Movie,7.9,107,1975,"Biography, Drama",52585,1975-03-07,"Andrei Tarkovsky",10,2023-04-08
11,tt0060176,2023-07-24,2023-07-24,,"Blow-Up","Blow-Up",https://www.imdb.com/title/tt0060176/,Movie,7.4,111,1966,"Drama, Mystery, Thriller",68014,1967-09-26,"Michelangelo Antonioni",10,2023-04-08
12,tt0052357,2023-07-24,2023-07-24,,"Vertigo","Vertigo",https://www.imdb.com/title/tt0052357/,Movie,8.3,128,1958,"Mystery, Romance, Thriller",429365,1958-05-28,"Alfred Hitchcock",10,2023-04-08
13,tt0073166,2023-07-24,2023-07-24,,"India Song","India Song",https://www.imdb.com/title/tt0073166/,Movie,6.1,120,1975,"Drama, Fantasy, Romance",2617,1975-06-04,"Marguerite Duras",10,2023-05-09
14,tt0090756,2023-07-24,2023-07-24,,"Blue Velvet","Blue Velvet",https://www.imdb.com/title/tt0090756/,Movie,7.7,120,1986,"Crime, Drama, Mystery, Thriller",216951,1986-10-23,"David Lynch",10,2023-04-08
15,tt0060138,2023-07-24,2023-07-24,,"Au hasard Balthazar","Au hasard Balthazar",https://www.imdb.com/title/tt0060138/,Movie,7.7,95,1966,"Drama",22982,1966-05-25,"Robert Bresson",10,2023-04-08
16,tt0062952,2023-07-24,2023-07-24,,"Faces","Faces",https://www.imdb.com/title/tt0062952/,Movie,7.4,130,1968,"Drama",11722,1968-10-17,"John Cassavetes",10,2023-04-10
17,tt0058625,2023-07-24,2023-07-24,,"Woman in the Dunes","Suna no onna",https://www.imdb.com/title/tt0058625/,Movie,8.5,147,1964,"Drama, Thriller",22898,1964-10-25,"Hiroshi Teshigahara",10,2023-04-08
18,tt0116922,2023-07-24,2023-07-24,,"Lost Highway","Lost Highway",https://www.imdb.com/title/tt0116922/,Movie,7.6,134,1997,"Drama, Mystery, Thriller",153973,1997-01-15,"David Lynch",10,2023-04-10
19,tt0071141,2023-07-24,2023-07-24,,"Ali: Fear Eats the Soul","Angst essen Seele auf",https://www.imdb.com/title/tt0071141/,Movie,8.0,92,1974,"Drama, Romance",24023,1974-10-31,"Rainer Werner Fassbinder",10,2023-04-08
